gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,100,Blue,Team,Team,Team WE, ,Rek'Sai,Alistar,Tristana,Karma,Shen,47.1666666667,1,11,15,33,11,15, , , , ,0,0,1,9.9846166667,0.2332155477,0.3180212014,0.5512367491,1,9.8574333333,3,2,2,2,1,1,0,0,1,0,1,15.25565,1,13.24485,1,1,10,4,1,30.3641833333,2,0,105176,2229.8798586573, , ,160,3.3922261484,1,93,1.9717314488,40,46,0.7419354839,0.4196428571,88827,1244.2049469965,77508,0.0444860627,1139,201,129,20,28.4098939929,15120,14976,144,23978,23297,681,19100,18934,166
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.0018402778,1.1,1,7.18,200,Red,Team,Team,Lyon Gaming, ,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.1666666667,0,15,11,54,15,11, , , , ,1,1,0,9.9846166667,0.3180212014,0.2332155477,0.5512367491,0,9.8574333333,2,3,2,2,1,0,0,1,0,1,0,15.25565,0,13.24485,0,0,4,10,0,30.3641833333,0,2,115179,2441.9575971732, , ,174,3.6890459364,1,61,1.2932862191,51,54,0.5714285714,0.2972972973,76419,981.1378091873,74135,-0.0444860627,1165,207,133,5,29.0883392226,14976,15120,-144,23297,23978,-681,18934,19100,-166
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,1,Blue,Top,Impact,Cloud9,Galio,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,30.25,1,2,0,6,13,3,0,0,0,0,0,1,0,11.9176666667,0.0661157025,0.0330578512,0.5289256198,0,11.57375,3,0,1,0,0,1,0,0,0,0,,,1,15.2525,1,1,10,0,1,26.8474833333,1,0,9492,313.7851239669,0.1854775676,0.1827230948,13,0.4297520661,0.1340206186,3,0.0991735537,1,3, , ,11194,239.2132231405,10625,0.1303258145,208,1,0,0,6.9090909091,3000,3187,-187,4852,4534,318,4534,4695,-161
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,2,Blue,Jungle,Contractz,Cloud9,Rek'Sai,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,30.25,1,2,2,5,13,3,0,0,0,0,0,0,0,11.9176666667,0.0661157025,0.0330578512,0.5289256198,1,11.57375,3,0,1,0,0,0,1,0,0,0,,,1,15.2525,1,1,10,0,1,26.8474833333,1,0,8130,268.7603305785,0.1588635298,0.1818140498,23,0.7603305785,0.2371134021,8,0.2644628099,6,7, , ,11158,238.0231404959,9800,0.2272727273,18,141,76,14,5.2561983471,3079,2795,284,5007,4410,597,3586,3229,357
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,3,Blue,Middle,Jensen,Cloud9,LeBlanc,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,30.25,1,5,1,7,13,3,0,0,0,0,1,0,0,11.9176666667,0.1652892562,0,0.5289256198,0,11.57375,3,0,0,0,0,0,0,0,0,0,,,1,15.2525,1,1,10,0,1,26.8474833333,1,0,19550,646.2809917355,0.382015007,0.2400939346,9,0.2975206612,0.0927835052,9,0.2975206612,1,1, , ,13466,314.320661157,11475,0.2555282555,248,3,3,0,8.2975206612,3183,2408,775,5215,4134,1081,4483,3561,922
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,4,Blue,ADC,Sneaky,Cloud9,Xayah,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,30.25,1,3,0,5,13,3,0,0,0,0,0,0,0,11.9176666667,0.0991735537,0.0330578512,0.5289256198,0,11.57375,3,0,1,0,0,0,1,0,0,0,,,1,15.2525,1,1,10,0,1,26.8474833333,1,0,11668,385.7190082645,0.2279974988,0.2520882784,13,0.4297520661,0.1340206186,12,0.3966942149,4,4, , ,13941,330.0231404959,11425,0.0749148695,282,13,7,2,9.7520661157,3214,3122,92,4954,4977,-23,3190,2904,286
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,5,Blue,Support,Smoothie,Cloud9,Rakan,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,30.25,1,1,0,10,13,3,0,0,0,0,0,0,0,11.9176666667,0.0330578512,0,0.5289256198,0,11.57375,3,0,0,0,0,0,0,0,0,0,,,1,15.2525,1,1,10,0,1,26.8474833333,1,0,2336,77.2231404959,0.0456463967,0.1432806424,39,1.2892561983,0.4020618557,12,0.3966942149,10,10, , ,9632,187.5768595041,8300,0.065318818,13,0,0,0,0.4297520661,1997,2728,-731,3134,4120,-986,2452,2669,-217
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,6,Red,Top,VVvert,Team oNe Esports,Gnar,Elise,Thresh,Syndra,Orianna,Jarvan IV,30.25,0,1,3,0,3,13,0,0,0,0,0,0,0,11.9176666667,0.0330578512,0.0661157025,0.5289256198,0,11.57375,0,3,0,1,0,0,0,0,0,0,,,0,15.2525,0,0,0,10,0,26.8474833333,0,1,9711,321.0247933884,0.2904441454,0.2152402235,14,0.4628099174,0.1296296296,4,0.132231405,3,3, , ,9737,191.0479338843,9325,-0.1303258145,257,1,1,0,8.5289256198,3187,3000,187,4534,4852,-318,4695,4534,161
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,7,Red,Jungle,4LaN,Team oNe Esports,Nidalee,Elise,Thresh,Syndra,Orianna,Jarvan IV,30.25,0,1,2,1,3,13,0,0,0,0,0,0,0,11.9176666667,0.0330578512,0.0661157025,0.5289256198,0,11.57375,0,3,0,1,0,0,0,0,0,0,,,0,15.2525,0,0,0,10,0,26.8474833333,0,1,5508,182.0826446281,0.1647375505,0.174160149,28,0.9256198347,0.2592592593,10,0.3305785124,10,13, , ,8634,154.5851239669,7800,-0.2272727273,24,109,81,3,4.3966942149,2795,3079,-284,4410,5007,-597,3229,3586,-357
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,8,Red,Middle,Brucer,Team oNe Esports,Lucian,Elise,Thresh,Syndra,Orianna,Jarvan IV,30.25,0,0,3,3,3,13,0,0,0,0,0,0,1,11.9176666667,0,0.1652892562,0.5289256198,0,11.57375,0,3,0,0,0,0,0,0,0,0,,,0,15.2525,0,0,0,10,0,26.8474833333,0,1,7396,244.4958677686,0.2212053238,0.2030986965,16,0.5289256198,0.1481481481,9,0.2975206612,5,5, , ,9411,180.2710743802,8875,-0.2555282555,199,19,8,0,7.2066115702,2408,3183,-775,4134,5215,-1081,3561,4483,-922
